test set,McCormick 1,McCormick 0.5,McCormick 0.25,Time McCormick 1,Time McCormick_0.5,Time McCormick_0.25
j3011_5,19099.0,19099.0,21134.0,0,0,0
j3011_6,14805.0,14805.0,16272.0,0,0,0
j3011_7,10765.0,10765.0,12339.0,0,0,0
j3011_8,21220.0,21589.0,27764.0,0,0,0
j3011_9,21626.0,21626.0,26323.0,0,0,0
j3011_10,15892.0,15892.0,16899.0,0,0,0
j3012_1,13864.0,13864.0,16253.0,0,0,0
j3012_2,19996.0,21716.0,24420.0,0,0,0
j3012_3,14568.0,14568.0,14684.0,0,0,0
j3012_4,17258.0,17258.0,18819.0,0,0,0
j3012_5,16028.0,16028.0,18209.0,0,0,0
j3012_6,19719.0,19719.0,24348.0,0,0,0
j3012_7,18098.0,18098.0,19850.0,0,0,0
j3012_8,12214.0,12214.0,12854.0,0,0,0
j3012_9,18302.0,18302.0,19385.0,0,0,0
j3012_10,17497.0,17497.0,19201.0,0,0,0
j3013_1,11568.0,11568.0,11822.0,0,0,0
j3013_2,12286.0,12286.0,12480.0,0,0,0
j3013_3,16252.0,16252.0,16999.0,0,0,0
j3013_4,17336.0,17336.0,19216.0,0,0,0
j3013_5,13629.0,13629.0,13978.0,0,0,0
j3013_6,18133.0,18133.0,19556.0,0,0,0
j3013_7,18544.0,18544.0,21081.0,0,0,0
j3013_8,22073.0,22073.0,25035.333333333332,0,0,0
j3013_9,16603.0,16603.0,18662.0,0,0,0
j3013_10,17193.0,17193.0,20291.0,0,0,0
j3014_1,16457.0,16473.0,18221.0,0,0,0
j3014_2,15909.0,15909.0,16948.0,0,0,0
j3014_3,16086.0,16086.0,19524.0,0,0,0
j3014_4,17697.0,19507.0,22797.0,0,0,0
j3014_5,12532.0,12532.0,13930.0,0,0,0
j3014_6,14016.0,14016.0,16291.0,0,0,0
j3014_7,14376.0,14376.0,14505.0,0,0,0
j3014_8,20867.0,20867.0,22173.0,0,0,0
j3014_9,14178.0,14178.0,16299.0,0,0,0
j3014_10,22140.0,22381.0,26196.0,0,0,0
j3015_1,13271.0,13271.0,15987.0,0,0,0
j3015_2,17555.0,17555.0,19187.0,0,0,0
j3015_3,17811.0,17811.0,18288.0,0,0,0
j3015_4,16369.0,16369.0,16664.0,0,0,0
j3015_5,19138.0,19138.0,21842.0,0,0,0
j3015_6,17523.0,17523.0,19637.0,0,0,0
j3015_7,16304.0,16304.0,17278.0,0,0,0
j3015_8,20029.0,20059.0,21642.0,0,0,0
j3015_9,18272.0,21040.0,23151.0,0,0,0
j3015_10,24873.0,25970.0,29696.0,0,0,0
j3016_1,17715.0,17715.0,21222.0,0,0,0
j3016_2,16020.0,16020.0,18514.0,0,0,0
j3016_3,15964.0,16845.0,18900.0,0,0,0
j3016_4,13582.0,13582.0,14373.0,0,0,0
j3016_5,16515.0,16515.0,19059.0,0,0,0
j3016_6,16038.0,16442.0,17397.0,0,0,0
j3016_7,15739.0,15739.0,18167.0,0,0,0
j3016_8,12875.0,12875.0,15111.0,0,0,0
j3016_9,16324.0,16324.0,16360.0,0,0,0
j3016_10,16180.0,18294.0,21213.0,0,0,0
j3017_1,16184.0,16184.0,17882.0,0,0,0
j3017_2,16844.0,16822.0,18103.0,0,0,0
j3017_3,19100.0,22760.0,25844.0,0,0,0
j3017_4,16401.0,16401.0,17816.001611027736,0,0,0
j3017_5,15967.0,15967.0,16535.0,0,0,0
j3017_6,21986.0,22386.0,25143.0,0,0,0
j3017_7,19280.0,20661.0,21619.0,0,0,0
j3017_8,15871.0,15871.0,17426.0,0,0,0
j3017_9,16060.0,16060.0,18343.0,0,0,0
j3017_10,21427.0,21427.0,21422.0,0,0,0
j3018_1,19105.0,19105.0,20467.0,0,0,0
j3018_2,17063.0,17544.0,20382.0,0,0,0
j3018_3,18059.0,18059.0,19384.0,0,0,0
j3018_4,19830.0,19830.0,20181.0,0,0,0
j3018_5,15832.0,15832.0,16142.0,0,0,0
j3018_6,22161.0,22161.0,24740.0,0,0,0
j3018_7,13088.0,13088.0,13523.0,0,0,0
j3018_8,17199.0,17199.0,18721.0,0,0,0
j3018_9,16789.0,16789.0,16974.0,0,0,0
j3018_10,19248.0,19003.0,21944.0,0,0,0
j3019_1,15976.0,15976.0,17954.0,0,0,0
